analysis_type,model,comparison,split,condition,metric,raw_or_reference,calibrated_or_candidate,observed_difference,bootstrap_mean,bootstrap_std,ci_low,ci_high,includes_zero
calibration_effect,C0,C0,unseen_test,original,NLL,raw,calibrated,-0.29596945767850247,-0.2959034498366901,0.020789249275796968,-0.3376056395729782,-0.2565918041833334,False
calibration_effect,C1,C1,unseen_test,original,NLL,raw,calibrated,-0.9138081226064123,-0.9137890977102668,0.051692451248707534,-1.0173661381090557,-0.8130946465290422,False
calibration_effect,C0,C0,unseen_test,original,BRIER,raw,calibrated,-0.021696306287097483,-0.021711103915441662,0.001793923071199012,-0.02527552631505389,-0.018293558461767664,False
calibration_effect,C1,C1,unseen_test,original,BRIER,raw,calibrated,-0.043233330991626795,-0.04322386653052627,0.003007764756453158,-0.04891199307768856,-0.0373117242757717,False
calibration_effect,C0,C0,unseen_test,original,ECE15,raw,calibrated,-0.059546185262666446,-0.05635017562036287,0.00415190518756248,-0.0640806213436481,-0.04771662013620919,False
calibration_effect,C1,C1,unseen_test,original,ECE15,raw,calibrated,-0.07422870970817769,-0.0729951674911878,0.005645776825658939,-0.08384590991969174,-0.06179433327492805,False
selective_risk,C0,risk_80_minus_risk_100,unseen_test,original,selective_risk_difference,100% policy,80% policy,-0.054675573837301705,-0.054470175765065985,0.0064921660064750425,-0.0671830846342901,-0.04171781829910901,False
selective_coverage,C0,C0,unseen_test,original,actual_coverage_80,validation_target_0.80,test_actual,0.790303738317757,0.7906607476635514,0.009703128280360145,0.7716121495327103,0.8095794392523364,True
selective_risk,C1,risk_80_minus_risk_100,unseen_test,original,selective_risk_difference,100% policy,80% policy,-0.03853410094512477,-0.038553727080530543,0.005806385406827372,-0.04992160100680382,-0.027484924154947167,False
selective_coverage,C1,C1,unseen_test,original,actual_coverage_80,validation_target_0.80,test_actual,0.8282710280373832,0.8284073598130842,0.009017915922571201,0.8107476635514018,0.8457943925233645,False
c1_vs_c0_selective,C1,C1_minus_C0,unseen_test,original,selective_risk_80,C0,C1,0.026655491583765678,0.02669878040539279,0.0052433025402793465,0.01650819458038241,0.03709028819583815,False
calibration_effect,C0,C0,unseen_test,jpeg_q50,NLL,raw,calibrated,-0.2916531226812433,-0.29123194883375775,0.019876758666760266,-0.3306277801082694,-0.2528081411735142,False
calibration_effect,C1,C1,unseen_test,jpeg_q50,NLL,raw,calibrated,-0.8995585430691483,-0.8985947385388852,0.0499735084138298,-0.9957405362410503,-0.7994685351520896,False
calibration_effect,C0,C0,unseen_test,jpeg_q50,BRIER,raw,calibrated,-0.023976667854935796,-0.023986644557798347,0.001920662800647643,-0.02780766610530779,-0.020233088059654614,False
calibration_effect,C1,C1,unseen_test,jpeg_q50,BRIER,raw,calibrated,-0.042937569392861225,-0.04295558579937043,0.00305534937483799,-0.04888287877722523,-0.03710745286517408,False
calibration_effect,C0,C0,unseen_test,jpeg_q50,ECE15,raw,calibrated,-0.067446771935684,-0.06385868177081246,0.004259356801506067,-0.07142139613314939,-0.05491451276405235,False
calibration_effect,C1,C1,unseen_test,jpeg_q50,ECE15,raw,calibrated,-0.08851817671883747,-0.08552497336411549,0.006119605850058676,-0.09714521174729632,-0.07351214847639323,False
selective_risk,C0,risk_80_minus_risk_100,unseen_test,jpeg_q50,selective_risk_difference,100% policy,80% policy,-0.05965412025775618,-0.059659372949630016,0.006864064720142787,-0.0732564849740233,-0.04619724649976654,False
selective_coverage,C0,C0,unseen_test,jpeg_q50,actual_coverage_80,validation_target_0.80,test_actual,0.7675233644859814,0.767456425233645,0.010206485805278961,0.7470794392523364,0.7873831775700935,False
selective_risk,C1,risk_80_minus_risk_100,unseen_test,jpeg_q50,selective_risk_difference,100% policy,80% policy,-0.04122705365127688,-0.041418178195752,0.0060958848582711765,-0.05373212778867419,-0.02992426800280912,False
selective_coverage,C1,C1,unseen_test,jpeg_q50,actual_coverage_80,validation_target_0.80,test_actual,0.7996495327102804,0.7994860981308411,0.009732097808632878,0.7797897196261683,0.8189252336448598,True
calibration_effect,C0,C0,unseen_test,resize_112,NLL,raw,calibrated,-0.265095286771558,-0.2647645600163838,0.018310554562,-0.3009173987268041,-0.2288596933480656,False
calibration_effect,C1,C1,unseen_test,resize_112,NLL,raw,calibrated,-0.6694322413538938,-0.6694132004608427,0.04465297759146978,-0.7605305581070508,-0.5836678206505265,False
calibration_effect,C0,C0,unseen_test,resize_112,BRIER,raw,calibrated,-0.025092114167825197,-0.025112571543842443,0.0020650331827671595,-0.02914558153531502,-0.021092558238440695,False
