comparison,split,condition,metric,observed_reference,observed_candidate,observed_difference,bootstrap_mean_difference,bootstrap_std,ci_low,ci_high,includes_zero,analysis_type,interpretation
A2_vs_A0,unseen_test,blur_sigma2,difference_in_delta_ap,-0.15210573528438465,-0.1148202037220809,0.03728553156230374,0.03725415875917481,0.007963104227842037,0.021848444358871906,0.052824667677526284,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,screenshot_strong,difference_in_delta_auc,-0.06621757358721281,-0.03658957660057649,0.029627996986636318,0.029686003690278632,0.00700065281552351,0.015782526039391814,0.043635992362869955,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,screenshot_strong,difference_in_delta_ap,-0.07559137251596382,-0.04288102847559405,0.032710344040369765,0.032673471460126224,0.008257291033204484,0.016709451975607036,0.04903073873839992,False,primary_rel_robustness,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,unseen_test,StrongRobustTest,roc_auc,0.787733747215914,0.8311427990435846,0.04340905182767052,0.04332579008674338,0.005518010442896727,0.032469500440813676,0.054292102646792226,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,unseen_test,StrongRobustTest,average_precision,0.808932402019054,0.8476811515566609,0.038748749537606875,0.03863973316922161,0.005326666918883849,0.028387386949487715,0.049206687199412055,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,StrongRobustTest,roc_auc,0.787733747215914,0.8042492452943489,0.016515498078434887,0.01653649070060704,0.0038397355827822863,0.009187372737247844,0.02404963213217318,False,primary_strong_robust,consistent positive difference under the current fixed-sample bootstrap
A2_vs_A0,unseen_test,StrongRobustTest,average_precision,0.808932402019054,0.8281975740887528,0.0192651720696988,0.019195194679348108,0.003947972556845592,0.011660031165608879,0.02705529930703803,False,primary_strong_robust,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,unseen_test,StrongRobustTest,roc_auc,0.787733747215914,0.8224097765088654,0.03467602929295133,0.0346107263393637,0.005371859767984131,0.024328066315835478,0.04522179970002852,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A3_vs_A0,unseen_test,StrongRobustTest,average_precision,0.808932402019054,0.8423169587883256,0.033384556769271545,0.0332421990964304,0.0051854578008734145,0.023300548010624405,0.043499671637938345,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
A1_vs_A0,unseen_test,original,roc_auc,0.8589887763123416,0.8710163005502665,0.012027524237924858,0.011949561369988647,0.004898680274190596,0.0025433102781903167,0.021682092868372662,False,secondary_ablation,consistent positive difference under the current fixed-sample bootstrap
