comparison,split,condition,metric,reference_value,candidate_value,observed_difference,bootstrap_mean,bootstrap_std,ci_low,ci_high,includes_zero,analysis_type,interpretation
F1_vs_F0,unseen_test,blur_sigma2,roc_auc,0.723661728098524,0.6226785636300114,-0.10098316446851263,-0.10112545282339068,0.016165536408716336,-0.13280968520722336,-0.06943389228862769,False,secondary,consistent negative difference under the current fixed-sample bootstrap
F1_vs_F0,unseen_test,blur_sigma2,average_precision,0.7538627813919474,0.6359086846470858,-0.11795409674486157,-0.11668524121527712,0.017307517768195516,-0.15016887313444782,-0.0826449360843235,False,secondary,consistent negative difference under the current fixed-sample bootstrap
F1_vs_F0,unseen_test,StrongRobustTest,roc_auc,0.8042492452943489,0.6631474364573324,-0.1411018088370165,-0.14103391627407416,0.012031478222292332,-0.16479445700770806,-0.11798625715810324,False,secondary_strong_robust,consistent negative difference under the current fixed-sample bootstrap
F1_vs_F0,unseen_test,StrongRobustTest,average_precision,0.8281975740887528,0.6314223832630597,-0.19677519082569317,-0.19513147129016778,0.013044204319447134,-0.22051197469529146,-0.16903164760503012,False,secondary_strong_robust,consistent negative difference under the current fixed-sample bootstrap
F2_vs_F1,unseen_test,original,roc_auc,0.6754151563455324,0.8543697866625906,0.17895463031705816,0.17872940608895974,0.013568518941098152,0.15262940881845583,0.20571367109026975,False,secondary,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F1,unseen_test,original,average_precision,0.613184597727602,0.8702937816115772,0.2571091838839752,0.2551045036183805,0.014776075093330078,0.22552564733617603,0.28297941814297795,False,secondary,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F1,unseen_test,resize_112,roc_auc,0.6789034522665734,0.8219972814219583,0.14309382915538482,0.1431159006790986,0.013761916667034765,0.11674494633810824,0.17010355707922092,False,secondary,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F1,unseen_test,resize_112,average_precision,0.6480053463748121,0.8443889879915524,0.19638364161674027,0.19470534687567878,0.01583977335244833,0.16346880822683546,0.22479950468842866,False,secondary,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F1,unseen_test,blur_sigma2,roc_auc,0.6226785636300114,0.7341921237662679,0.11151356013625646,0.11163603385120971,0.015940320515966038,0.0799143211197484,0.14283734182570532,False,secondary,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F1,unseen_test,blur_sigma2,average_precision,0.6359086846470858,0.7526446190868812,0.11673593443979535,0.11538622670549262,0.017514264519346,0.08042113989036603,0.14999317150260688,False,secondary,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F1,unseen_test,StrongRobustTest,roc_auc,0.6631474364573324,0.810228888712988,0.1470814522556556,0.1470234369541008,0.012148712644294441,0.1234218779000894,0.17077851026836408,False,secondary_strong_robust,consistent positive difference under the current fixed-sample bootstrap
F2_vs_F1,unseen_test,StrongRobustTest,average_precision,0.6314223832630597,0.8292618232788997,0.19783944001584008,0.19617815209758438,0.013229233688298063,0.16971881445256864,0.2216760475922683,False,secondary_strong_robust,consistent positive difference under the current fixed-sample bootstrap
F0_gap,unseen_minus_known,original,roc_auc,0.9421552785472453,0.8503205793082365,-0.09183469923900889,-0.09227411565504909,0.01339859979370516,-0.11825248637303522,-0.06542323122642386,False,generalisation_gap,consistent negative difference under the current fixed-sample bootstrap
F0_gap,unseen_minus_known,original,average_precision,0.9490671756749863,0.8686829851140283,-0.08038419056095802,-0.08088387015006526,0.011647338859230501,-0.1034337242581783,-0.05731815112717275,False,generalisation_gap,consistent negative difference under the current fixed-sample bootstrap
F1_gap,unseen_minus_known,original,roc_auc,0.801400430901816,0.6754151563455324,-0.1259852745562836,-0.1261006410184032,0.02534877576054469,-0.17571380584600949,-0.07649225263090834,False,generalisation_gap,consistent negative difference under the current fixed-sample bootstrap
