model,split,condition,severity,num_samples,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall,specificity,f1,fpr,threshold,delta_auc,delta_ap,delta_balanced_accuracy,delta_recall,delta_f1
MobileNetV3-Small,known_test,crop_75,strong,456,0.9227839335180056,0.9284812375739216,0.8289473684210527,0.8289473684210527,0.8024193548387096,0.8728070175438597,0.7850877192982456,0.8361344537815126,0.2149122807017544,0.7300598621368408,-0.029143582640812515,-0.0288791425999827,-0.054824561403508776,0.00877192982456143,-0.04529731355629496
MobileNetV3-Small,known_test,resize_160,mild,456,0.9439442905509389,0.951589803591855,0.8399122807017544,0.8399122807017544,0.7859778597785978,0.9342105263157895,0.7456140350877193,0.8537074148296593,0.2543859649122807,0.7300598621368408,-0.00798322560787923,-0.00577057658204938,-0.04385964912280704,0.07017543859649122,-0.02772435250814831
MobileNetV3-Small,known_test,resize_112,strong,456,0.8307556171129578,0.828739943673442,0.5942982456140351,0.5942982456140351,0.5528255528255528,0.9868421052631579,0.20175438596491227,0.7086614173228346,0.7982456140350878,0.7300598621368408,-0.12117189904586034,-0.1286204365004624,-0.2894736842105263,0.12280701754385959,-0.17277035001497298
MobileNetV3-Small,known_test,blur_sigma1,mild,456,0.846683594952293,0.8517338650392609,0.5789473684210527,0.5789473684210527,0.5434782608695652,0.9868421052631579,0.17105263157894737,0.7009345794392523,0.8289473684210527,0.7300598621368408,-0.10524392120652515,-0.1056265151346435,-0.3048245614035088,0.12280701754385959,-0.1804971878985553
MobileNetV3-Small,known_test,blur_sigma2,strong,456,0.6862688519544474,0.6829759378080117,0.506578947368421,0.506578947368421,0.5033259423503326,0.9956140350877193,0.017543859649122806,0.6686303387334315,0.9824561403508771,0.7300598621368408,-0.2656586642043707,-0.27438444236589266,-0.3771929824561404,0.13157894736842102,-0.21280142860437612
MobileNetV3-Small,unseen_test,original,reference,1712,0.8589887763123416,0.8709269699460437,0.7470794392523364,0.7470794392523364,0.8542713567839196,0.5957943925233645,0.8983644859813084,0.7019958706125258,0.10163551401869159,0.7300598621368408,0.0,0.0,0.0,0.0,0.0
MobileNetV3-Small,unseen_test,jpeg_q75,mild,1712,0.8414517643462311,0.8565774911749868,0.7558411214953271,0.7558411214953271,0.7889182058047494,0.6985981308411215,0.8130841121495327,0.7410161090458488,0.18691588785046728,0.7300598621368408,-0.01753701196611046,-0.014349478771056856,0.008761682242990676,0.10280373831775702,0.03902023843332303
MobileNetV3-Small,unseen_test,jpeg_q50,strong,1712,0.8184441599703031,0.8369147352907144,0.7266355140186916,0.7266355140186915,0.7131868131868132,0.758177570093458,0.6950934579439252,0.7349943374858438,0.30490654205607476,0.7300598621368408,-0.04054461634203854,-0.03401223465532932,-0.02044392523364491,0.16238317757009346,0.03299846687331798
MobileNetV3-Small,unseen_test,crop_90,mild,1712,0.8632740850729321,0.8772022719413568,0.7710280373831776,0.7710280373831776,0.8473053892215568,0.6612149532710281,0.8808411214953271,0.7427821522309711,0.1191588785046729,0.7300598621368408,0.004285308760590523,0.006275301995313121,0.02394859813084116,0.06542056074766356,0.04078628161844533
MobileNetV3-Small,unseen_test,crop_75,strong,1712,0.858476995807494,0.8691133898045957,0.7686915887850467,0.7686915887850467,0.8108108108108109,0.7009345794392523,0.8364485981308412,0.7518796992481203,0.16355140186915887,0.7300598621368408,-0.0005117805048475699,-0.0018135801414479458,0.02161214953271029,0.10514018691588778,0.049883828635594485
MobileNetV3-Small,unseen_test,resize_160,mild,1712,0.8465252150842869,0.8664951805074229,0.7663551401869159,0.766355140186916,0.7707838479809976,0.758177570093458,0.7745327102803738,0.7644287396937574,0.22546728971962618,0.7300598621368408,-0.012463561228054698,-0.00443178943862077,0.01927570093457953,0.16238317757009346,0.06243286908123158
MobileNetV3-Small,unseen_test,resize_112,strong,1712,0.7809954744955891,0.8090666681777989,0.5794392523364486,0.5794392523364486,0.5449141347424042,0.9637850467289719,0.19509345794392524,0.6962025316455697,0.8049065420560748,0.7300598621368408,-0.07799330181675246,-0.06186030176824475,-0.1676401869158879,0.3679906542056074,-0.0057933389669561075
MobileNetV3-Small,unseen_test,blur_sigma1,mild,1712,0.7893477323347017,0.8203226150721887,0.554322429906542,0.554322429906542,0.5299806576402321,0.9602803738317757,0.1483644859813084,0.6830078936435396,0.8516355140186916,0.7300598621368408,-0.06964104397763993,-0.05060435487385495,-0.19275700934579443,0.36448598130841114,-0.01898797696898613
