model,split,condition,original_auc,transformed_auc,delta_auc,delta_auc_ci_low,delta_auc_ci_high,original_ap,transformed_ap,delta_ap,delta_ap_ci_low,delta_ap_ci_high
SmallCNNV1,unseen_test,screenshot_strong,0.7215081557341254,0.6845234845838065,-0.03698467115031889,-0.04958562838457502,-0.02518492335575157,0.6558252220465397,0.6457436110160213,-0.010081611030518411,-0.02646848358810098,0.005485945693440295
MobileNetV3-Small,unseen_test,jpeg_q50,0.8589887763123416,0.8184441599703031,-0.04054461634203854,-0.05226488462420307,-0.0289165709068477,0.8709269699460437,0.8369147352907144,-0.03401223465532932,-0.04468067421916593,-0.02343671498970375
MobileNetV3-Small,unseen_test,crop_75,0.8589887763123416,0.858476995807494,-0.0005117805048475699,-0.009685753122543328,0.008767175353742726,0.8709269699460437,0.8691133898045957,-0.0018135801414479458,-0.01118438815673374,0.007246824372537838
MobileNetV3-Small,unseen_test,resize_112,0.8589887763123416,0.7809954744955891,-0.07799330181675246,-0.0948199795014848,-0.061342250141933785,0.8709269699460437,0.8090666681777989,-0.06186030176824475,-0.07739097043409321,-0.04680230857249989
MobileNetV3-Small,unseen_test,blur_sigma2,0.8589887763123416,0.6925065780854223,-0.16648219822691934,-0.19059021598502052,-0.142593410177745,0.8709269699460437,0.718821234661659,-0.15210573528438465,-0.174767429892801,-0.12912477393206148
MobileNetV3-Small,unseen_test,screenshot_strong,0.8589887763123416,0.7927712027251288,-0.06621757358721281,-0.08466644193816061,-0.0480833478906454,0.8709269699460437,0.7953355974300799,-0.07559137251596382,-0.09734118981564341,-0.054683150029445925
EfficientNet-B0,unseen_test,jpeg_q50,0.8589150799196436,0.8350278954493843,-0.02388718447025928,-0.03322004787536032,-0.014728769979911089,0.8805020097815437,0.8557740105570284,-0.024727999224515296,-0.033962733415270466,-0.0158415314557533
EfficientNet-B0,unseen_test,crop_75,0.8589150799196436,0.8686443685037994,0.009729288584155893,0.00035950874530534,0.01894304360642842,0.8805020097815437,0.88496582552793,0.004463815746386324,-0.004948925733407275,0.013750331346345363
EfficientNet-B0,unseen_test,resize_112,0.8589150799196436,0.7878424152764434,-0.07107266464320017,-0.08839044690038425,-0.05444244243492872,0.8805020097815437,0.8030586306981419,-0.07744337908340182,-0.09513866536604906,-0.0603577943562081
EfficientNet-B0,unseen_test,blur_sigma2,0.8589150799196436,0.5929509400384313,-0.26596413988121226,-0.29478603139466336,-0.23732401574373307,0.8805020097815437,0.5787960025869004,-0.30170600719464324,-0.3290584543882626,-0.2715155688281213
EfficientNet-B0,unseen_test,screenshot_strong,0.8589150799196436,0.8283720193903397,-0.03054306052930389,-0.04148936315398729,-0.020018737990217514,0.8805020097815437,0.8567132830551742,-0.023788726726369447,-0.033523285464158656,-0.014199501388936981
