comparison,scope,feature,group_a,n_a,mean_a,median_a,group_b,n_b,mean_b,median_b,cohens_d_a_minus_b,spearman_p_ai_vs_feature,spearman_pvalue
AI_correct_vs_falseREAL,Nano Banana 2,edge_density,CORRECT_CONFIDENT_AI,62,0.1321451715766952,0.1237444196428571,FALSE_REAL_AI,491,0.1387749338215428,0.1277901785714285,-0.1387530056639827,-0.085082421140115,0.0218651709915908
AI_correct_vs_falseREAL,Nano Banana 2,sharpness,CORRECT_CONFIDENT_AI,62,2325.7622175782167,1042.6091364668289,FALSE_REAL_AI,491,4741.334431983982,3945.3443923753184,-0.7859933441955419,-0.2314960309410077,2.7417845126522305e-10
AI_correct_vs_falseREAL,Nano Banana 2,entropy,CORRECT_CONFIDENT_AI,62,7.233973378822285,7.390008736385835,FALSE_REAL_AI,491,6.723627005862776,6.872278187627657,0.6653221951313736,0.1084706154850485,0.0034304602041434
AI_correct_vs_falseREAL,Nano Banana 2,high_frequency_ratio,CORRECT_CONFIDENT_AI,62,0.1139280592092801,0.0927964960905784,FALSE_REAL_AI,491,0.2269015870045929,0.1915193202632724,-0.8000642269135814,-0.204369494428271,2.7624077883620384e-08
AI_correct_vs_falseREAL,Nano Banana 2,width,CORRECT_CONFIDENT_AI,62,1062.2903225806451,1104.0,FALSE_REAL_AI,491,959.714867617108,896.0,0.5844506094439844,0.2499786526174362,8.334052478055874e-12
AI_correct_vs_falseREAL,Nano Banana 2,height,CORRECT_CONFIDENT_AI,62,1001.016129032258,972.5,FALSE_REAL_AI,491,1104.7983706720977,1193.0,-0.5019430157946817,-0.3236919585019961,3.597626792665896e-19
AI_correct_vs_falseREAL,Nano Banana 2,aspect_ratio,CORRECT_CONFIDENT_AI,62,1.114243084041043,1.1323076923076922,FALSE_REAL_AI,491,0.9198806118495574,0.7510477787091366,0.5953376531826307,0.2487162318649094,1.0678362230985147e-11
AI_correct_vs_falseREAL,Qwen-Image,mean_brightness,CORRECT_CONFIDENT_AI,19,0.497760348744761,0.5222991233212034,FALSE_REAL_AI,53,0.4691813806374554,0.4581130888292816,0.1824435476532731,0.0999099909990999,0.3226552983690486
AI_correct_vs_falseREAL,Qwen-Image,std_brightness,CORRECT_CONFIDENT_AI,19,0.2517273268013583,0.2426418692664317,FALSE_REAL_AI,53,0.2576174016376305,0.2589972642575212,-0.1234602170374546,-0.1067506750675067,0.2904615390926945
AI_correct_vs_falseREAL,Qwen-Image,mean_saturation,CORRECT_CONFIDENT_AI,19,0.3248863978157052,0.2897958402110844,FALSE_REAL_AI,53,0.337261321096835,0.3177134916466587,-0.0775357817278921,-0.0464086408640864,0.6465940779607559
