fold,split,condition,group,head,m_n,m_mean,m_median,m_p05,m_p25,m_frac_le0,m_frac_low_margin
4,TRAIN,resize_112,AI,H3,2314,1.7291831690302584,1.744630997268698,-0.2708078062153409,0.9419216407512861,0.0756266205704408,0.15384615384615385
4,TRAIN,blur_sigma2,Real,H2,4280,-0.9593001108631355,-2.36252938452295,-5.942427202530284,-4.894979148170808,0.5420560747663551,0.5539719626168225
4,TRAIN,blur_sigma2,Real,H3,4280,3.3624449932053464,3.0109167318426695,-1.1160102590968561,0.7323506244345017,0.15163551401869158,0.21728971962616822
4,TRAIN,blur_sigma2,AI,H2,2314,5.296332425841424,5.4313959884460585,3.29346422959243,4.744596453276714,0.0,0.0
4,TRAIN,blur_sigma2,AI,H3,2314,2.0715956802616216,1.9646138602949066,0.0638541414598881,1.176509432119269,0.04278305963699222,0.10069144338807261
4,TRAIN,screenshot_strong,Real,H2,4280,1.5201509946163165,1.5823345198102183,-0.9759687489727856,0.6357520909328518,0.1378504672897196,0.22242990654205608
4,TRAIN,screenshot_strong,Real,H3,4280,2.8242261784703424,2.935917019610863,-0.8733134721337877,1.1415798208443944,0.11401869158878504,0.16962616822429907
4,TRAIN,screenshot_strong,AI,H2,2314,0.19048322102978615,0.14093683743490715,-2.7382260920344077,-1.2247911622569267,0.47234226447709593,0.5583405358686258
4,TRAIN,screenshot_strong,AI,H3,2314,2.0648954369893056,2.073521082477306,-0.0952279663630255,1.1793478597213947,0.05790838375108038,0.1222990492653414
4,EVAL,CLEAN,Real,H2,923,4.436495993995782,4.550013084649542,1.1062256941197335,3.347322782389324,0.014084507042253521,0.02275189599133261
4,EVAL,CLEAN,Real,H3,923,5.136825413414825,5.340214313264509,0.44925067116712264,3.259394271655948,0.030335861321776816,0.05417118093174431
4,EVAL,CLEAN,AI,H2,786,-0.2719401580498057,-0.4343774746896022,-2.7665908746520156,-1.519941725784653,0.5903307888040712,0.678117048346056
4,EVAL,CLEAN,AI,H3,786,-1.2145772623222342,-1.6793849915099415,-4.6030061419941575,-2.9586383407223336,0.72264631043257,0.7646310432569975
4,EVAL,jpeg_q50,Real,H2,923,5.868258995844229,5.898699390011123,2.7118263042234845,4.705159565983736,0.0,0.0032502708559046588
4,EVAL,jpeg_q50,Real,H3,923,4.87675199988669,4.93022429097634,0.2690393686944535,2.888490406277714,0.041170097508125676,0.07150595882990249
4,EVAL,jpeg_q50,AI,H2,786,-3.3203836861594374,-3.474188648014416,-5.7117876723690255,-4.5068080461771896,0.9694656488549618,0.9796437659033079
4,EVAL,jpeg_q50,AI,H3,786,-2.53372802622261,-2.8022666204951747,-5.931935700802149,-4.227614076852755,0.8447837150127226,0.8778625954198473
4,EVAL,resize_112,Real,H2,923,-4.49344565056535,-4.499834727468971,-6.242137081528327,-5.199203963822414,1.0,1.0
4,EVAL,resize_112,Real,H3,923,2.419986833923624,2.545712899007832,-0.5643666571760539,1.1284388220362276,0.09750812567713976,0.1635969664138678
4,EVAL,resize_112,AI,H2,786,4.755581974730417,4.757391016703842,3.041699976996174,4.001300463737025,0.0,0.001272264631043257
4,EVAL,resize_112,AI,H3,786,-1.125668537936537,-1.228024675043159,-3.5412660965843497,-2.3345704611591693,0.7531806615776081,0.8307888040712468
4,EVAL,blur_sigma2,Real,H2,923,-0.6439751056232101,0.7836425804235363,-6.609714797902762,-4.731997927220169,0.47778981581798485,0.49295774647887325
4,EVAL,blur_sigma2,Real,H3,923,3.369869331013968,3.7522879787178436,-1.7660068197880658,0.3471596377290023,0.20585048754062837,0.26327193932827736
4,EVAL,blur_sigma2,AI,H2,786,2.7896693227947083,2.7382681263175153,0.6909831955576325,1.868703696931545,0.007633587786259542,0.03816793893129771
4,EVAL,blur_sigma2,AI,H3,786,-1.1350027240649325,-1.210497496303247,-3.5490147209691263,-2.162721559028988,0.7824427480916031,0.8676844783715013
4,EVAL,screenshot_strong,Real,H2,923,1.598204621915066,1.6512964364384222,-0.908726990949049,0.6346479992971512,0.13651137594799567,0.23401950162513543
4,EVAL,screenshot_strong,Real,H3,923,2.965955162535104,3.057854275189466,-0.6716469840454574,1.3612094885102226,0.0790899241603467,0.13326110509209102
4,EVAL,screenshot_strong,AI,H2,786,-0.0898444464700567,-0.19944531352645328,-2.125969582956424,-1.080346651850118,0.5610687022900763,0.6997455470737913
4,EVAL,screenshot_strong,AI,H3,786,-1.4327485867532332,-1.603286725307508,-3.997400526843212,-2.7739674771796707,0.7760814249363868,0.8396946564885496
