C,fold,generator_id,legacy_or_modern,n,ai_recall_050,mean_p_ai,median_p_ai
1.0,4,tiny::Midjourney,legacy,286,0.9230769230769231,0.7938796877861023,0.8526521921157837
3.0,1,mllm::GPT_Image_2,modern,726,0.5523415977961432,0.5192243456840515,0.5522193908691406
3.0,1,qwen::FLUX.2_max,modern,100,0.17,0.236693874001503,0.14415504038333893
3.0,1,qwen::GPT-Image-1,modern,100,0.25,0.29952162504196167,0.18387965857982635
3.0,1,qwen::GPT-Image-1.5,modern,100,0.17,0.2715388536453247,0.18666473031044006
3.0,1,qwen::Qwen-Image-2512,modern,100,0.21,0.281314879655838,0.1829032003879547
3.0,1,qwen::gpt-image-2,modern,100,0.18,0.2532334625720978,0.15045782923698425
3.0,1,qwen::kling_v2_1,modern,100,0.24,0.2936069369316101,0.18385350704193115
3.0,1,tiny::ADM,legacy,286,0.8811188811188811,0.7953565120697021,0.8772448301315308
3.0,1,tiny::SD15,legacy,286,0.7307692307692307,0.6288736462593079,0.6562273502349854
3.0,2,mllm::Nano_Banana_2,modern,725,0.5682758620689655,0.5213921666145325,0.5594186782836914
3.0,2,qwen::GLM-Image,modern,100,0.34,0.39815807342529297,0.3419443368911743
3.0,2,qwen::Seedream-4.0,modern,100,0.25,0.3150477707386017,0.23018988966941833
3.0,2,qwen::nano-banana-2.0,modern,100,0.21,0.28795328736305237,0.2048248052597046
3.0,2,qwen::nano-banana-pro,modern,100,0.27,0.30778422951698303,0.2151086926460266
3.0,2,tiny::BigGAN,legacy,286,0.9230769230769231,0.811363697052002,0.8688764572143555
3.0,2,tiny::VQDM,legacy,285,0.41403508771929826,0.4375382363796234,0.38870468735694885
3.0,3,qwen::FLUX.2-pro,modern,100,0.27,0.3051547110080719,0.19927078485488892
3.0,3,qwen::GPT-Image-1,modern,100,0.33,0.35800623893737793,0.2849387526512146
3.0,3,qwen::GPT-Image-1.5,modern,100,0.22,0.2959001958370209,0.2354907989501953
3.0,3,qwen::HunyuanImage-3.0,modern,100,0.29,0.3741597831249237,0.29038023948669434
3.0,3,qwen::Seedream-4.5,modern,100,0.19,0.2559156119823456,0.18085673451423645
3.0,3,tiny::GLIDE,legacy,286,0.9790209790209791,0.8836963176727295,0.9194321036338806
3.0,3,tiny::Wukong,legacy,285,0.8771929824561403,0.7950624823570251,0.878966748714447
3.0,4,qwen::Imagen-4.0,modern,100,0.26,0.30024465918540955,0.21377646923065186
3.0,4,qwen::Imagen-4.0-Ultra,modern,100,0.29,0.3101321756839752,0.21694649755954742
3.0,4,qwen::Qwen-Image,modern,100,0.23,0.30427828431129456,0.21593013405799866
3.0,4,qwen::Qwen-Image-2.0-pro,modern,100,0.24,0.2919693887233734,0.20189514756202698
3.0,4,qwen::Seedream-5.0,modern,100,0.19,0.25893160700798035,0.13324540853500366
3.0,4,tiny::Midjourney,legacy,286,0.8916083916083916,0.8041359782218933,0.8777033090591431
10.0,1,mllm::GPT_Image_2,modern,726,0.5578512396694215,0.5280213356018066,0.5714768171310425
10.0,1,qwen::FLUX.2_max,modern,100,0.13,0.20390866696834564,0.08900418132543564
10.0,1,qwen::GPT-Image-1,modern,100,0.24,0.27403518557548523,0.11533091962337494
10.0,1,qwen::GPT-Image-1.5,modern,100,0.22,0.24763278663158417,0.11296093463897705
10.0,1,qwen::Qwen-Image-2512,modern,100,0.2,0.2542731463909149,0.10160587728023529
10.0,1,qwen::gpt-image-2,modern,100,0.19,0.22460760176181793,0.08370963484048843
10.0,1,qwen::kling_v2_1,modern,100,0.24,0.25997138023376465,0.11639728397130966
10.0,1,tiny::ADM,legacy,286,0.8741258741258742,0.8162733316421509,0.923736572265625
10.0,1,tiny::SD15,legacy,286,0.7027972027972028,0.6399904489517212,0.6972631216049194
10.0,2,mllm::Nano_Banana_2,modern,725,0.5282758620689655,0.5165968537330627,0.548420786857605
